编号,名字,别名,世代,种族,属性,装备凹槽,消耗容量,成长,退化,进化,进化条件,Lv.1数值,Lv.99数值,SS,必杀技,继承技
260,超恶魔兽,,究极体,自由,暗,2,20,速攻,"['阿卡迪兽完全体', '玉兔兽', '地狱使者兽', '大古加兽', '丧尸撒旦兽']",['灭世魔兽'],"('等级：55', 'HP：1100', 'SP：', 'ATK：180', 'DEF：', 'INT：', 'SPD：130', '友情：', '才能：20', '')","('HP：1100', 'SP：70', 'ATK：180', 'INT：40', 'DEF：60', 'SPD：115')","('HP：2270', 'SP：158', 'ATK：307', 'INT：118', 'DEF：148', 'SPD：232')","('破坏神', '发动攻击时，有10%的机率使对方立即死亡。')","[('大灾难', '对敌方单体发动3次威力80的火属性物理攻击，使用后将因反作用力而无法行动1回合。')]","['Lv.破坏加农Ⅲ', 'Lv.死亡召唤', 'Lv.马赫突击Ⅱ', 'Lv.守备破坏力场', 'Lv.流星坠落Ⅲ']"
261,究极魔兽,,究极体,病毒,暗,2,22,双刀,"['阿卡迪兽完全体', '丧尸暴龙兽', '丧尸撒旦兽', '蓝色火焰兽']",[],"('等级：60', 'HP：1600', 'SP：', 'ATK：230', 'DEF：', 'INT：160', 'SPD：', '友情：', '才能：80', '')","('HP：950', 'SP：84', 'ATK：125', 'INT：125', 'DEF：70', 'SPD：91')","('HP：1930', 'SP：182', 'ATK：242', 'INT：242', 'DEF：158', 'SPD：189')","('愤怒', 'HP在25%以下时，INT提升50%。')","[('火焰地狱', '对敌方全体发动威力90的火属性魔法攻击。')]","['Lv.梦魇Ⅲ', 'Lv.闪电坠击Ⅱ', 'Lv.智能破坏力场', 'Lv.爆裂火焰Ⅲ', 'Lv.地狱粉碎Ⅲ']"
262,红莲骑士兽,公爵兽,究极体,病毒,光,1,22,万能,"['大古拉兽', '钢铁巨龙兽']",['红莲骑士兽CM'],"('等级：60', 'HP：', 'SP：', 'ATK：140', 'DEF：140', 'INT：140', 'SPD：', '友情：50', '才能：80', '')","('HP：950', 'SP：95', 'ATK：100', 'INT：100', 'DEF：105', 'SPD：95')","('HP：2020', 'SP：202', 'ATK：198', 'INT：198', 'DEF：203', 'SPD：202')","('万能', 'ATK、DEF、INT、SPD提升5%。')","[('皇家枪击', '对敌方单体发动威力140的光属性物理攻击，并有50%的机率使自己的DEF提升10%。'), ('极乐净土', '对敌方单体发动威力115的光属性魔法攻击，必定命中，并解除自己被降低的基本状态。')]","['Lv.神圣钩爪Ⅲ', 'Lv.X治愈', 'Lv.守备填充力场', 'Lv.爆裂火焰Ⅲ', 'Lv.流星坠落Ⅲ']"
263,杜纳斯兽,君主兽,究极体,资料,风,2,22,速攻,"['翼龙兽', '飞行V龙兽', '人面战鹰兽']",[],"('等级：60', 'HP：1200', 'SP：', 'ATK：140', 'DEF：120', 'INT：', 'SPD：130', '友情：', '才能：80', '')","('HP：1100', 'SP：70', 'ATK：150', 'INT：55', 'DEF：85', 'SPD：120')","('HP：2270', 'SP：158', 'ATK：277', 'INT：133', 'DEF：173', 'SPD：237')","('飞龙', '火、风属性技能造成的伤害增加10%。')","[('飞龙之息', '对敌方全体发动威力110的风属性物理攻击，使用后将因反作用力而受到HP20%的伤害。'), ('龙之怒吼', '对敌方单体发动2次威力60的火属性物理攻击，并吸收50%HP。')]","['Lv.烈风利爪Ⅲ', 'Lv.狂风暴雨Ⅱ', 'Lv.流星坠落Ⅱ', 'Lv.攻击破坏力场', 'Lv.狂风暴雨Ⅲ']"
264,杜兰达兽,,究极体,疫苗,无,2,20,攻击,"['黄金剑士兽', '杜兰兽', '骑士兽']",[],"('等级：60', 'HP：1500', 'SP：', 'ATK：140', 'DEF：120', 'INT：', 'SPD：', '友情：', '才能：20', '')","('HP：1080', 'SP：53', 'ATK：130', 'INT：56', 'DEF：117', 'SPD：86')","('HP：2250', 'SP：131', 'ATK：257', 'INT：134', 'DEF：234', 'SPD：184')","('Legend-Arms', '增加光·暗属性技能所给予的伤害10%。')","[('双重境界', '对敌方单体发动无属性威力150的物理攻击。')]","['Lv.重度强袭Ⅲ', 'Lv.辅助终结', 'Lv.交叉拳', 'Lv.攻击填充力场', 'Lv.马赫突击Ⅲ']"
265,芳香兽,,究极体,资料,光,3,22,智力,"['格斗狮子兽', '骑士兽']",['芳香兽LM'],"('等级：60', 'HP：', 'SP：100', 'ATK：', 'DEF：', 'INT：120', 'SPD：140', '友情：', '才能：80', '')","('HP：600', 'SP：125', 'ATK：85', 'INT：120', 'DEF：70', 'SPD：130')","('HP：1380', 'SP：252', 'ATK：163', 'INT：247', 'DEF：158', 'SPD：247')","('战略家', '使用技能时消費的SP减少20%。')","[('灭绝', '对敌方全体发动威力80的光属性魔法攻击，必定命中。'), ('炽烈回马枪', '对敌方单体发动威力110的暗属性魔法攻击，并使对方的DEF降低20%。')]","['Lv.神圣钩爪Ⅲ', 'Lv.速度破坏力场', 'Lv.闪耀雷射Ⅲ', 'Lv.地牛翻身Ⅲ', 'Lv.辅助终结']"
266,芳香兽LM,,究极体,资料,土,3,25,速度,[],['芳香兽'],"('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '「芳香兽」形态切换')","('HP：850', 'SP：100', 'ATK：110', 'INT：90', 'DEF：80', 'SPD：155')","('HP：1730', 'SP：207', 'ATK：208', 'INT：188', 'DEF：178', 'SPD：282')","('猎豹形态', 'EVA和CRT提升5%，SPD提升10%。')","[('摩天大厦', '对敌方单体发动威力145的土属性物理攻击，并有35%的机率使对方眩晕，ACU 90%。')]","['Lv20.神圣钩爪Ⅲ', 'Lv35.速度破坏力场', 'Lv50.闪耀雷射Ⅲ', 'Lv65.地牛翻身Ⅲ', 'Lv80.辅助终结']"
267,多路战龙兽,,究极体,资料,暗,2,18,双刀,"['千兆龙兽', '黄金剑士兽', '多路龙兽']",[],"('等级：50', 'HP：1600', 'SP：', 'ATK：160', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：20', '')","('HP：1150', 'SP：42', 'ATK：167', 'INT：30', 'DEF：90', 'SPD：96')","('HP：2130', 'SP：140', 'ATK：284', 'INT：147', 'DEF：178', 'SPD：194')","('奋力的一击', 'CRT提升15%。')","[('勇者金徽', '对敌方单体发动暗属性威力180的物理攻击。使用后将因反作用力一回合无法行动。')]","['Lv.云雾汽油弹Ⅲ', 'Lv.加速增幅器', 'Lv.彗星重锤Ⅲ', 'Lv.攻击填充力场', 'Lv.流星坠落Ⅲ']"
268,尼普顿兽,,究极体,疫苗,水,2,20,防御,"['达高兽', '巨鲸兽', '超海龙兽']",[],"('等级：55', 'HP：1000', 'SP：100', 'ATK：', 'DEF：', 'INT：130', 'SPD：', '友情：', '才能：20', '')","('HP：950', 'SP：88', 'ATK：105', 'INT：120', 'DEF：67', 'SPD：100')","('HP：1930', 'SP：186', 'ATK：212', 'INT：227', 'DEF：194', 'SPD：178')","('深海救星', '水属性技能造成的伤害增加15%。')","[('涡流贯刺', '对敌方单体发动水属性的DEF贯穿攻击。必定命中。')]","['Lv.寒冰之箭Ⅲ', 'Lv.偶像泡沫', 'Lv.反射镜', 'Lv.大海波浪Ⅱ', 'Lv.发电水流Ⅲ']"
269,高级安杜路兽,高等机械人兽,究极体,疫苗,雷,3,18,防御,"['安杜路兽', '入侵者兽', '钢铁豆豆兽']",[],"('等级：55', 'HP：', 'SP：', 'ATK：100', 'DEF：130', 'INT：100', 'SPD：', '友情：', '才能：20', '')","('HP：700', 'SP：65', 'ATK：100', 'INT：85', 'DEF：115', 'SPD：85')","('HP：1680', 'SP：163', 'ATK：207', 'INT：192', 'DEF：242', 'SPD：163')","('钢铁帝国', '雷属性技能造成的伤害增加15%。')","[('原子射线', '对敌方单体发动威力125的雷属性物理攻击，并有40%的机率使对方眩晕。')]","['Lv.闪电坠击Ⅱ', 'Lv.力量能源Ⅲ', 'Lv.天国闪电Ⅲ', 'Lv.守备填充力场', 'Lv.闪电坠击Ⅲ']"
270,摔角火山兽,摔跤火山兽,究极体,资料,火,2,18,攻击,"['悟空兽', '格斗狮子兽', '火山兽']",[],"('等级：50', 'HP：', 'SP：', 'ATK：120', 'DEF：135', 'INT：', 'SPD：', '友情：', '才能：20', '')","('HP：750', 'SP：70', 'ATK：110', 'INT：72', 'DEF：105', 'SPD：88')","('HP：1920', 'SP：148', 'ATK：237', 'INT：150', 'DEF：222', 'SPD：186')","('强力接招', 'EVA大幅下降，但所受损伤减少15%。')","[('火山驱动技', '对敌方单体发动火属性威力130的物理攻击，容易产生爆击。')]","['Lv.马赫突击Ⅱ', 'Lv.云雾汽油弹Ⅲ', 'Lv.交叉拳', 'Lv.流星坠落Ⅱ', 'Lv.马赫突击Ⅲ']"
271,巴尔巴兽,,究极体,病毒,暗,2,22,魔防,"['吸血魔兽', '死神兽', '蓝色火焰兽']",[],"('等级：60', 'HP：', 'SP：160', 'ATK：', 'DEF：120', 'INT：200', 'SPD：', '友情：', '才能：80', '')","('HP：800', 'SP：126', 'ATK：45', 'INT：170', 'DEF：80', 'SPD：89')","('HP：1870', 'SP：243', 'ATK：123', 'INT：297', 'DEF：178', 'SPD：177')","('贪婪', '因HP吸收效果、SP吸收效果回复量增加20%。')","[('群魔殿迷失', '对敌方全体发动威力80的暗属性魔法攻击，并吸收20%HP。')]","['Lv.梦魇Ⅲ', 'Lv.地狱粉碎Ⅱ', 'Lv.爆裂火焰Ⅲ', 'Lv.精神耗竭', 'Lv.地狱粉碎Ⅲ']"
272,番长狮子兽,,究极体,疫苗,土,3,18,攻击,"['格斗狮子兽', '邦加兽', '熊猫兽', '音速迦奥迦兽', '黑兽人加鲁鲁']","['混沌兽', '混沌兽VA']","('等级：55', 'HP：', 'SP：', 'ATK：120', 'DEF：130', 'INT：', 'SPD：', '友情：', '才能：20', '')","('HP：1050', 'SP：45', 'ATK：130', 'INT：41', 'DEF：130', 'SPD：89')","('HP：2220', 'SP：123', 'ATK：257', 'INT：119', 'DEF：247', 'SPD：187')","('背水之阵', '给予敌人的伤害增加20%，但受到的伤害也增加20%。')","[('闪光番长拳', '对敌方单体发动威力130的光属性物理攻击，并有75%的机率使对方眩晕。')]","['Lv.地牛翻身Ⅱ', 'Lv.加速增幅器', 'Lv.彗星重锤Ⅲ', 'Lv.攻击填充力场', 'Lv.地牛翻身Ⅲ']"
273,小丑皇,,究极体,病毒,暗,3,18,智力,"['吸血魔兽', '悟空兽', '斗牛士兽', '贤者兽']",['启示录兽'],"('等级：50', 'HP：', 'SP：', 'ATK：130', 'DEF：', 'INT：160', 'SPD：110', '友情：', '才能：20', '')","('HP：500', 'SP：115', 'ATK：90', 'INT：120', 'DEF：60', 'SPD：105')","('HP：1280', 'SP：242', 'ATK：168', 'INT：247', 'DEF：148', 'SPD：222')","('魔术师', '发动攻击时，有10%的机率使对方液晶化。')","[('王牌飞剑', '对敌方单体发动4次威力35的无属性魔法攻击，并使对方的輔助技能无效化。')]","['Lv.死亡召唤', 'Lv.地狱粉碎Ⅱ', 'Lv.梦魇Ⅲ', 'Lv.结构痛击', 'Lv.地狱粉碎Ⅲ']"
274,木偶兽,,究极体,病毒,木,3,18,防御,"['捕捉豆豆兽', '祖利兽', '南瓜兽', '豆豆兽']",['启示录兽'],"('等级：50', 'HP：', 'SP：', 'ATK：130', 'DEF：130', 'INT：130', 'SPD：', '友情：', '才能：20', '')","('HP：650', 'SP：65', 'ATK：110', 'INT：95', 'DEF：100', 'SPD：85')","('HP：1630', 'SP：163', 'ATK：217', 'INT：202', 'DEF：227', 'SPD：163')","('奇异的舞蹈', '发动攻击时，有10%的机率使对方混乱。')","[('爆炸铁锤', '对敌方单体发动威力125的土属性物理攻击，并有50%的机率使对方眩晕。')]","['Lv.新月之叶Ⅲ', 'Lv.雄伟巨石Ⅲ', 'Lv.智能破坏力场', 'Lv.符文之森Ⅱ', 'Lv.符文之森Ⅲ']"
275,白金鼻涕兽,,究极体,病毒,无,3,16,速度,"['黄金鼻涕兽', '悟空兽', '超级流星兽', '黑帝鼻涕兽']",[],"('等级：65', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：10', '')","('HP：10', 'SP：79', 'ATK：50', 'INT：1', 'DEF：999', 'SPD：81')","('HP：890', 'SP：186', 'ATK：148', 'INT：99', 'DEF：999', 'SPD：208')","('白金红利', '大幅的增加在战斗中获得的EXP。')","[('白金粪便', '对敌方单体发动4次威力35的土属性物理攻击，并有30%的机率使对方的ATK降低10%。')]","['Lv.疾速逃脱', 'Lv.攻击破坏力场', 'Lv.守备破坏力场', 'Lv.智能破坏力场', 'Lv.速度破坏力场']"
276,黑暗战斗暴龙兽,,究极体,病毒,火,2,20,攻击,"['超蛇龙兽', '机械暴龙兽（蓝）', '钢铁巨龙兽']",['黑奥米加兽'],"('等级：55', 'HP：1800', 'SP：', 'ATK：140', 'DEF：140', 'INT：', 'SPD：', '友情：', '才能：20', '')","('HP：1150', 'SP：54', 'ATK：120', 'INT：50', 'DEF：120', 'SPD：91')","('HP：2320', 'SP：132', 'ATK：247', 'INT：128', 'DEF：237', 'SPD：189')","('龙之愤怒', 'ATK提升15%。')","[('黑暗盖亚能量炮', '对敌方全体发动威力100的暗属性物理攻击，并有30%的机率使自己的DEF提升20%。'), ('黑暗龙卷风', '对敌方单体发动暗属性高威力的DEF贯穿攻击。')]","['Lv.流星坠落Ⅱ', 'Lv.云雾汽油弹Ⅲ', 'Lv.守备填充力场', 'Lv.马赫突击Ⅱ', 'Lv.流星坠落Ⅲ']"
277,王子豆豆兽,,究极体,资料,无,3,16,铁壁,"['捕捉豆豆兽', '黑帝鼻涕兽', '豆豆兽', '钢铁豆豆兽']",[],"('等级：45', 'HP：', 'SP：', 'ATK：', 'DEF：150', 'INT：', 'SPD：', '友情：', '才能：20', '')","('HP：1000', 'SP：84', 'ATK：60', 'INT：65', 'DEF：110', 'SPD：91')","('HP：2270', 'SP：191', 'ATK：148', 'INT：153', 'DEF：237', 'SPD：169')","('百万富翁', '增加战斗时获取的YEN。')","[('微笑弹头', '对敌方单体发动威力110的无属性物理攻击，并产生击退效果。')]","['Lv.负极锁链', 'Lv.疾速逃脱', 'Lv.力量能源', 'Lv.智能填充力场', 'Lv.最终治愈']"
278,破坏龙兽,,究极体,病毒,土,2,20,攻击,"['地龙兽', '三角龙兽', '多路龙兽', '钢铁巨龙兽']",['艾克萨兽'],"('等级：55', 'HP：1500', 'SP：', 'ATK：160', 'DEF：140', 'INT：', 'SPD：', '友情：', '才能：20', '')","('HP：1300', 'SP：50', 'ATK：150', 'INT：55', 'DEF：110', 'SPD：80')","('HP：2470', 'SP：128', 'ATK：277', 'INT：133', 'DEF：227', 'SPD：178')","('地龙', '增加土属性技能所给予的伤害，且ATK也增加10%。')","[('毁灭冲刺', '对敌方单体发动土属性威力25的物理攻击5次。容易产生CRT。')]","['Lv.闪电坠击Ⅱ', 'Lv.守备破坏力场', 'Lv.奈米机械破坏Ⅲ', 'Lv.闪电坠击Ⅲ', 'Lv.地牛翻身Ⅲ']"
279,蛇颈龙兽,,究极体,资料,水,3,18,魔防,"['祖顿兽', '怪蛙皇', '巨鲸兽', '超海龙兽']",[],"('等级：50', 'HP：', 'SP：100', 'ATK：', 'DEF：120', 'INT：145', 'SPD：', '友情：', '才能：20', '')","('HP：1150', 'SP：95', 'ATK：35', 'INT：125', 'DEF：65', 'SPD：85')","('HP：2220', 'SP：212', 'ATK：113', 'INT：252', 'DEF：163', 'SPD：173')","('深海的睡眠', '发动攻击时，有10%的机率使对方睡眠。')","[('悲痛之蓝', '对敌方全体发动水属性中威力的INT贯穿攻击，并有25%的机率使对方睡眠。')]","['Lv.大海波浪Ⅱ', 'Lv.X灵气', 'Lv.发电水流Ⅲ', 'Lv.状态屏障', 'Lv.大海波浪Ⅲ']"
280,力神比多兽,,究极体,疫苗,木,3,18,铁壁,"['超比多兽', '大古加兽', '入侵者兽']",['暴君比多兽'],"('等级：50', 'HP：1100', 'SP：', 'ATK：', 'DEF：150', 'INT：120', 'SPD：', '友情：', '才能：20', '')","('HP：1050', 'SP：75', 'ATK：70', 'INT：80', 'DEF：105', 'SPD：85')","('HP：2320', 'SP：182', 'ATK：158', 'INT：168', 'DEF：232', 'SPD：163')","('麻痹如水流', '不会陷入麻痹状态')","[('千兆爆破', '对敌方单体发动威力130的雷属性魔法攻击。')]","['Lv.盖亚元素Ⅲ', 'Lv.闪电坠击Ⅱ', 'Lv.符文之森Ⅱ', 'Lv.智能填充力场', 'Lv.符文之森Ⅲ']"
281,堕天地狱兽,别西卜兽,究极体,病毒,暗,1,22,速攻,"['地狱使者兽', '死神火焰兽']",['堕天地狱兽BM'],"('等级：60', 'HP：2000', 'SP：', 'ATK：250', 'DEF：', 'INT：', 'SPD：150', '友情：', '才能：80', '')","('HP：1100', 'SP：70', 'ATK：165', 'INT：60', 'DEF：75', 'SPD：110')","('HP：2270', 'SP：158', 'ATK：292', 'INT：138', 'DEF：163', 'SPD：227')","('暴食', '每回合减少最大HP的5%，ATK提升5%。')","[('双重冲击', '对敌方单体发动8次威力20的暗属性物理攻击，ACU 90%。')]","['Lv.破坏加农Ⅲ', 'Lv.物理耗竭', 'Lv.彗星重锤Ⅲ', 'Lv.流星坠落Ⅱ', 'Lv.地狱粉碎Ⅲ']"
282,堕天地狱兽BM,别西卜兽BM,究极体,病毒,暗,2,25,速攻,['堕天地狱兽'],[],"('等级：80', 'HP：2100', 'SP：', 'ATK：300', 'DEF：', 'INT：', 'SPD：220', '友情：100', '才能：100', '')","('HP：1100', 'SP：70', 'ATK：175', 'INT：65', 'DEF：80', 'SPD：120')","('HP：2270', 'SP：158', 'ATK：302', 'INT：143', 'DEF：168', 'SPD：237')","('正电子炮', '攻击力增加10%，HP吸收效果的回复量增加30%。')","[('混沌烈焰', '对敌方单体发动暗属性高威力的INT贯穿攻击(翻译错误,其实是DEF),并吸收20%的HP。')]","['Lv.烈风利爪Ⅲ', 'Lv.加速增幅器', 'Lv.云雾汽油弹Ⅲ', 'Lv.攻击填充力场', 'Lv.流星坠落Ⅲ']"
283,贝尔菲兽SM,,究极体,病毒,暗,1,22,魔防,"['蛋蛋兽', '贤者兽']",['贝尔菲兽RM'],"('等级：60', 'HP：1700', 'SP：140', 'ATK：', 'DEF：', 'INT：180', 'SPD：', '友情：', '才能：80', '')","('HP：1200', 'SP：120', 'ATK：50', 'INT：140', 'DEF：65', 'SPD：95')","('HP：2270', 'SP：237', 'ATK：128', 'INT：267', 'DEF：163', 'SPD：183')","('怠惰', '不会陷入睡眠状态。且在发动攻击时，有30%的机率使对方睡眠。')","[('永恒噩梦', '对敌方全体发动暗属性中威力的INT贯穿攻击，并有50%的机率使对方睡眠。')]","['Lv.破坏加农Ⅲ', 'Lv.负极锁链', 'Lv.雄伟巨石Ⅲ', 'Lv.智能破坏力场', 'Lv.地狱粉碎Ⅲ']"
284,凤凰兽,,究极体,疫苗,火,3,18,智力,"['伽楼达兽', '人面战鹰兽', '妖精兽']",[],"('等级：50', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：130', 'SPD：150', '友情：', '才能：20', '')","('HP：1000', 'SP：110', 'ATK：45', 'INT：130', 'DEF：55', 'SPD：100')","('HP：1780', 'SP：237', 'ATK：123', 'INT：257', 'DEF：143', 'SPD：217')","('不死鸟之羽', '不会陷入即死状态')","[('星光爆破', '对敌方全体发动威力90的光属性魔法攻击。')]","['Lv20.爆裂火焰Ⅲ', 'Lv35.状态屏障', 'Lv50.力量能源Ⅲ', 'Lv65.最终治愈', 'Lv80.安全守护']"
285,圣龙兽,,究极体,疫苗,光,2,20,魔防,"['超比多兽', '天女兽', '花仙兽']",[],"('等级：55', 'HP：900', 'SP：120', 'ATK：', 'DEF：', 'INT：145', 'SPD：', '友情：', '才能：20', '')","('HP：1350', 'SP：110', 'ATK：50', 'INT：120', 'DEF：75', 'SPD：85')","('HP：2420', 'SP：227', 'ATK：128', 'INT：247', 'DEF：173', 'SPD：173')","('妖精的庇佑', '状态提升效果增加5%。')","[('神圣火焰', '对敌方全体发动威力95的光属性魔法攻击。')]","['Lv.闪耀雷射Ⅱ', 'Lv.神圣之光Ⅲ', 'Lv.完美复活', 'Lv.X灵气', 'Lv.闪耀雷射Ⅲ']"
286,科学怪人兽,螺栓兽,究极体,资料,雷,3,18,攻击,"['死神火焰兽', '南瓜兽', '蓝色火焰兽']",[],"('等级：50', 'HP：', 'SP：', 'ATK：145', 'DEF：100', 'INT：', 'SPD：', '友情：', '才能：20', '')","('HP：1000', 'SP：44', 'ATK：135', 'INT：45', 'DEF：105', 'SPD：91')","('HP：2170', 'SP：122', 'ATK：262', 'INT：123', 'DEF：222', 'SPD：189')","('屹立不摇', '不会陷入眩晕状态')","[('斩斧斯坦纳', '对敌方单体发动威力130的无属性物理攻击，并有40%的机率使对方混乱。')]","['Lv.奈米机械破坏Ⅲ', 'Lv.交叉拳', 'Lv.速度填充力场', 'Lv.攻击破坏力场', 'Lv.闪电坠击Ⅲ']"
287,铠甲加鲁鲁兽,盔甲加鲁鲁兽,究极体,自由,光,3,18,速攻,['银狼兽'],"['金刚武神兽', '铠甲加鲁鲁兽分离']","('等级：50', 'HP：', 'SP：', 'ATK：130', 'DEF：', 'INT：', 'SPD：160', '友情：80', '才能：20', '')","('HP：900', 'SP：78', 'ATK：112', 'INT：75', 'DEF：60', 'SPD：125')","('HP：2070', 'SP：166', 'ATK：239', 'INT：153', 'DEF：148', 'SPD：242')","('黑暗为光芒，雷牙成炮弹', '增加 雷·水·光·暗属性技能所给予的伤害8%。')","[('破坏机关枪', '对敌方单体发动火属性威力150的物理攻击。减少自我的DEF 10%。')]","['Lv.神圣钩爪Ⅲ', 'Lv.破坏加农Ⅱ', 'Lv.灵气', 'Lv.顶级锁链', 'Lv.闪电坠击Ⅲ']"
288,铠甲加鲁鲁兽分离,盔甲加鲁鲁兽（分离）,究极体,自由,光,3,18,速度,[],['铠甲加鲁鲁兽'],"('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '「铠甲加鲁鲁兽」形态切换')","('HP：580', 'SP：85', 'ATK：114', 'INT：70', 'DEF：58', 'SPD：155')","('HP：1460', 'SP：192', 'ATK：212', 'INT：168', 'DEF：156', 'SPD：282')","('黑暗为光芒，雷牙成炮弹', '增加 雷·水·光·暗属性技能所给予的伤害8%。')","[('星光闪速', '对敌方单体发动光属性威力130的物理攻击。能夠提升自我的SPD 10%。')]","['Lv20.神圣钩爪Ⅲ', 'Lv35.破坏加农Ⅱ', 'Lv50.灵气', 'Lv65.顶级锁链', 'Lv80.闪电坠击Ⅲ']"
289,混沌神魔兽,莫斯提兽,究极体,疫苗,无,1,22,双刀,"['天女兽', '女恶魔兽']",[],"('等级：60', 'HP：', 'SP：120', 'ATK：120', 'DEF：', 'INT：120', 'SPD：', '友情：100', '才能：80', '合体进化')","('HP：850', 'SP：95', 'ATK：115', 'INT：115', 'DEF：90', 'SPD：100')","('HP：1830', 'SP：193', 'ATK：232', 'INT：232', 'DEF：178', 'SPD：198')","('异世界的军师', '光、暗属性技能造成的伤害增加10%，HP回复效果增加10%。')","[('混沌降阶', '减少敌方全体25%HP。')]","['Lv.闪耀雷射Ⅲ', 'Lv.地狱粉碎Ⅲ', 'Lv.最终灵气', 'Lv.顶级锁链', 'Lv.安全守护']"
290,海天使兽,,究极体,疫苗,水,3,18,智力,"['祖顿兽', '妖精兽', '巨鲸兽']",[],"('等级：50', 'HP：', 'SP：110', 'ATK：', 'DEF：', 'INT：135', 'SPD：', '友情：50', '才能：20', '')","('HP：800', 'SP：135', 'ATK：25', 'INT：140', 'DEF：45', 'SPD：95')","('HP：1580', 'SP：262', 'ATK：103', 'INT：267', 'DEF：133', 'SPD：212')","('海洋之爱', '每回合回复最大SP的5%。')","[('海洋之爱', '回复全体战斗成員的HP，并解除所有异常状态。')]","['Lv20.发电水流Ⅲ', 'Lv35.大海波浪Ⅱ', 'Lv50.驱散', 'Lv65.最终灵气', 'Lv80.安全守护']"
291,密涅瓦兽,,究极体,病毒,无,3,20,速攻,"['蛋蛋兽', '熊仔兽', '八咫鸦兽', '黑兽人加鲁鲁', '龙王兽']",[],"('等级：55', 'HP：', 'SP：', 'ATK：150', 'DEF：', 'INT：', 'SPD：140', '友情：', '才能：20', '')","('HP：1000', 'SP：70', 'ATK：145', 'INT：80', 'DEF：70', 'SPD：110')","('HP：2170', 'SP：158', 'ATK：272', 'INT：158', 'DEF：158', 'SPD：227')","('第一骑兵', '无属性技能造成的伤害增加15%。')","[('强袭旋斩', '对敌方单体发动威力140的无属性物理攻击，容易产生爆击。')]","['Lv.重度强袭Ⅲ', 'Lv.马赫突击Ⅱ', 'Lv.守备破坏力场', 'Lv.新月之叶Ⅲ', 'Lv.马赫突击Ⅲ']"
292,幻影迦奥迦兽,,,,,,,,[],[],"('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：', 'SP：', 'ATK：', 'INT：', 'DEF：', 'SPD：')","('HP：', 'SP：', 'ATK：', 'INT：', 'DEF：', 'SPD：')","('', '')","[('', '')]",[]
293,幻影迦奥迦兽BM,,,,,,,,[],[],"('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：', 'SP：', 'ATK：', 'INT：', 'DEF：', 'SPD：')","('HP：', 'SP：', 'ATK：', 'INT：', 'DEF：', 'SPD：')","('', '')","[('', '')]",[]
294,机械邪龙兽,无限龙兽,究极体,病毒,雷,3,18,防御,"['千兆龙兽', '分子兽', '超蛇龙兽']","['混沌龙兽', '启示录兽']","('等级：50', 'HP：1300', 'SP：', 'ATK：130', 'DEF：130', 'INT：', 'SPD：', '友情：', '才能：20', '')","('HP：750', 'SP：65', 'ATK：120', 'INT：75', 'DEF：120', 'SPD：85')","('HP：1730', 'SP：163', 'ATK：227', 'INT：182', 'DEF：247', 'SPD：163')","('全天运作机器', '不会陷入睡眠状态')","[('无限大炮', '对敌方全体发动威力115的雷属性物理攻击，ACU 80%。')]","['Lv.马赫突击Ⅱ', 'Lv.奈米机械破坏Ⅲ', 'Lv.攻击填充力场', 'Lv.速度破坏力场', 'Lv.闪电坠击Ⅲ']"
295,破灭魔龙兽,灭世龙兽,究极体,病毒,火,2,20,速度,"['千兆龙兽', '地龙兽', '超蛇龙兽', '大古拉兽']",[],"('等级：55', 'HP：1700', 'SP：', 'ATK：180', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：40', '')","('HP：1250', 'SP：67', 'ATK：150', 'INT：60', 'DEF：83', 'SPD：90')","('HP：2130', 'SP：174', 'ATK：248', 'INT：158', 'DEF：181', 'SPD：217')","('数码危机', 'ATK上升10%，且增加火·暗属性技能所给予的伤害10%。')","[('灭世烈焰', '对敌方单体发动火属性威力130的物理攻击。')]","['Lv.流星坠落Ⅱ', 'Lv.云雾汽油弹Ⅲ', 'Lv.破坏加农Ⅱ', 'Lv.遗失锁链', 'Lv.流星坠落Ⅲ']"
